,0,1
A/CHICKEN/SCOTLAND/1959_C,2.336,
A/TERN/SOUTH-AFRICA/1961_C,2.701,
A/TURKEY/WISCONSIN/1968_C,11.918,
A/DUCK/HONG-KONG/205/1977_C,4.696,
A/CHICKEN/HIDALGO/28159-232/1994_C,3.936,
A/EMU/NEW-YORK/12716/1994_C,11.937,
A/MALLARD/NETHERLANDS/3/1999_C,4.411,
A/AVIAN/NEW-YORK/315883/2000_C,3.954,
A/ENVIRONMENT/DELAWARE/1346/2001_C,2.791,
A/MALLARD/SWEDEN/21/2002_C,4.214,
A/MALLARD/SWEDEN/49/2002_C,2.879,
A/MALLARD/SWEDEN/7/2002_C,2.627,
A/HONG-KONG/486/1997_0,2.3,
A/HONG-KONG/156/1997_0,2.048,
A/HONG-KONG/483/1997_0,8.806,
A/VIETNAM/1194/2004_1,7.81,2.536
A/VIETNAM/1203/2004_1,6.097,
A/VIETNAM/1204/2004_1,2.773,9.056
A/VIETNAM/3212/2004_1,4.771,
A/VIETNAM/3218/2004_1,8.743,1.546
A/CAMBODIA/R0405050/2007_1-1,4.618,10.206
A/DUCK/VIETNAM/OIE-0062/2012_1-1-1,8.391,4.133
A/CAMBODIA/X0810301/2013_1-1-2,3.42,
A/INDONESIA/5/2005_2-1-3-2,5.364,
A/DUCK/HUNAN/795/2002_2-1-1,6.898,
A/CHICKEN/WEST-JAVA/30/2007_2-1-3-2,6.599,
A/CHICKEN/CENTRAL-JAVA/51/2009_2-1-3-2,5.332,
A/CHICKEN/CENTRAL-JAVA/52/2009_2-1-3-2B,3.143,
A/CHICKEN/WEST-JAVA/59/2009_2-1-3-2B,4.166,
A/CHICKEN/NORTH-SUMATRA/27/2009_2-1-3-2,5.308,
A/CHICKEN/WEST-JAVA/47/2009_2-1-3-2B,4.022,
A/CHICKEN/NORTH-SUMATRA/72/2010_2-1-3-3,3.722,
A/CHICKEN/WEST-JAVA/90/2010_2-1-3-2A,3.695,
A/CHICKEN/EAST-JAVA/121/2010_2-1-3-2B,4.931,
A/CHICKEN/SOUTH-SULAWESI/157/2011_2-1-3-1,4.142,
A/INDONESIA/NIHRD11771/2011_2-1-3-2A,3.576,
A/INDONESIA/NIHRD13233/2013_2-1-3-2B,4.077,
A/TURKEY/TURKEY/1/2005_2-2-1,2.2,
A/BAR-HEADED-GOOSE/QINGHAI/1A/2005_2-2,2.556,
A/IRAQ/755/2006_2-2,2.284,
A/TURKEY/65596/2006_2-2,2.082,
A/CHICKEN/NIGERIA/BA209/2006_2-2,2.296,
A/CHICKEN/NIGERIA/BA210/2006_2-2,2.296,
A/CHICKEN/NIGERIA/SO452/2006_2-2-1,2.795,
A/CHICKEN/NIGERIA/SO493/2006_2-2-1,2.03,
A/SWAN/GERMANY/R651/2006_2-2,2.61,
A/CHICKEN/EGYPT/3N/2006_2-2-1,2.26,
A/TURKEY/15/2006_2-2,2.3,
A/CAT/AUSTRIA/P32V1/2006_2-2-1,2.249,
A/CHICKEN/BANGLADESH/11RS1984-27/2011_2-2-2-1,7.445,
A/SWAN/AUSTRIA/P2063/2006_2-2-1,2.31,
A/EGYPT/N01753/2014_2-2-1-2,3.311,
A/COMMON-MAGPIE/HONG-KONG/5052/2007_2-3-2-1,3.444,
A/CHICKEN/HONG-KONG/AP156/2009_2-3-4,11.649,
A/BARN-SWALLOW/HONG-KONG/1161/2010_2-3-2-1B,3.588,
A/DUCK/HONG-KONG/1091/2011_2-3-2-1B,4.862,
A/DUCK/BANTUL/1443-9/2012_2-3-2-1G,2.386,
A/DUCK/VIETNAM/NCVD-1584/2012_2-3-2-1E,3.741,
A/DUCK/BANGLADESH/19097/2013_2-3-2-1A,2.541,
A/ANHUI/1/2005_2-3-4,3.173,
A/JIANGXI/1/2005_2-3-4,3.041,
A/JAPANESE-WHITE-EYE/HONG-KONG/1038/2006_2-3-4,7.899,
A/GUIZHOU/1/2013_2-3-4-2,3.169,
A/GOOSE/EASTERN-CHINA/1112/2011_2-3-4-4A,6.865,
A/CHICKEN/NETHERLANDS/EMC-3/2014_2-3-4-4C,2.035,
A/GUANGZHOU/39715/2014_2-3-4-4E,6.565,
A/GYRFALCON/WASHINGTON/41088-6/2014_2-3-4-4C,3.677,
A/EURASIAN-WIGEON/NETHERLANDS/1/2015_2-3-4-4C,2.622,
A/EURASIAN-WIGEON/NETHERLANDS/EMC-3/2014_2-3-4-4C,1.847,
A/GREAT-BLACK-BACKED-GULL/NETHERLANDS/3/2016_2-3-4-4B,3.514,
A/TUFTED-DUCK/GERMANY/AR8444/2016_2-3-4-4B,4.975,
A/GOOSE/GUANGDONG/72/2004_9,7.432,
A/CHICKEN/EGYPT/20NLQP-CLEVB238/2008_2-2-1-1,6.254,
A/CHICKEN/EGYPT/0987-NLQP/2009_2-2-1,3.696,
A/CHICKEN/JIANGSU/K0101/2010_2-3-4,8.651,
A/MUSCOVY-DUCK/VIETNAM/TMU003/2008_2-3-4-2,4.431,
A/BLACK-HEADED-GULL/TYVA/41/2016_2-3-4-4B,6.34,
A/CHICKEN/HUADONG/4/2008_7-2,7.79,
A/DUCK/CAIRO/1578CA/2015_2-2-1-2,3.811,
A/DUCK/GIZA/15292S/2015_2-2-1-2,2.852,
A/DUCK/DAKAHLIA/1536CAG/2015_2-2-1-2,3.162,
A/DUCK/VIETNAM/317/2005_1,7.68,3.047
A/DUCK/VIETNAM/NCVD-1279/2012_1-1-2,4.292,9.576
A/MUSCOVY-DUCK/VIETNAM/NCVD-KA426/2013_1-1-2,8.802,
A/DUCK/HUNAN/182/2005_2-3-1,5.837,
A/CHICKEN/DENPASAR/BBVD-182/2007_2-1-1,3.352,
A/CHICKEN/MEDAN/BBPV1-571/2005_2-1-2,7.113,
A/INDONESIA/538H/2006_2-1-2,6.435,
A/CHICKEN/INDONESIA/R60/2005_2-1-1,3.18,
A/CHICKEN/EAST-JAVA/UT6031/2007_2-1-3,5.175,
A/COMMON-GOLDENEYE/MONGOLIA/12/2006_2-2,2.449,
A/GOOSE/GUANGXI/345/2005_2-3-2,2.65,
A/GREAT-EGRET/HONG-KONG/807/2008_2-3-2-1,3.617,
A/CHICKEN/NEPAL/T299/2013_2-3-2-1A,6.104,
A/DUCK/VIETNAM/NCVD-851/2011_2-3-2-1A,8.803,5.843
A/DUCK/VIETNAM/NCVD-1283/2012_2-3-2-1B,8.341,
A/BAR-HEADED-GOOSE/MONGOLIA/X53/2009_2-3-2-1C,2.878,
A/GUINEA-FOWL/GHANA/2/2015_2-3-2-1F,8.427,6.45
A/DUCK/VIETNAM/NCVD-293/2009_2-3-4-1,5.618,
A/DUCK/VIETNAM/HU3-574/2015_2-3-2-1E,4.157,
A/CHICKEN/VIETNAM/NCVD-279/2009_2-3-4-3,4.645,
A/SICHUAN/26221/2014_2-3-4-4A,7.551,
A/MUSCOVY-DUCK/VIETNAM/LBM631/2014_2-3-4-4G,5.519,
A/BLACK-SWAN/AKITA/1/2016_2-3-4-4E,11.211,
A/MUSCOVY-DUCK/VIETNAM/823/2015_2-3-4-4F,4.862,
A/GREAT-BLACK-BACKED-GULL/NETHERLANDS/1/2017_2-3-4-4B,4.053,
A/BLACK-HEADED-GULL/NETHERLANDS/29/2017_2-3-4-4B,5.354,
A/ENVIRONMENT/KOTA-TANGERANG/0813207-005/2013_2-1-3-2B,2.979,
A/CHICKEN/VIETNAM/NCVD-15A59/2015_2-3-4-4F,7.417,
A/FUJIAN-SANYUAN/21099/2017_2-3-4-4B,5.779,
A/NEPAL/19FL1997/2019_2-3-2-1A,5.545,
A/ASTRAKHAN/3212/2020_2-3-4-4B,5.335,
A/CHICKEN/VIETNAM/RAHO4-CD-20-421/2020_2-3-4-4G,14.222,
A/HERRING-GULL/NETHERLANDS/1/2020_2-3-4-4B,3.473,
A/CASPIAN-GULL/NETHERLANDS/1/2022_2-3-4-4B,3.718,
A/CHICKEN/NETHERLANDS/EMC-1/2018_2-3-4-4B,1.871,
A/EURASIAN-WIGEON/NETHERLANDS/4/2016_2-3-4-4B,5.862,
