,0,1
A/DUCK/HONGKONG/205B/1977,2.769,
A/MALLARD/NETHERLANDS/3A/1999,4.192,
A/MALLARD/SWEDEN/49B/2002,6.448,
A/HONGKONG/156A/1997,3.581,
A/HONGKONG/483B/1997,4.051,
A/VIETNAM/1194D/2004,2.722,
A/INDONESIA/5F/2005,3.64,
A/CHICKEN/WESTJAVA/EURRG30A/2007,3.843,
A/CHICKEN/CENTRALJAVA/051B/2009,4.06,
A/CHICKEN/NORTHSUMATRA/072A/2010,4.473,
A/CHICKEN/EASTJAVA/121B/2010,4.392,
A/CHICKEN/SOUTHSULAWESI/157A/2011,2.528,
A/TURKEY/TURKEY/1A/2005,2.524,
A/IRAQ/755A/2006,2.863,
A/EGYPT/NO1753B/2014,2.451,
A/DUCK/BANGLADESH/19097B/2013,1.981,
A/ANHUI/1C/2005,2.649,7.245
A/GUIZHOU/1A/2013,4.719,
A/GOOSE/EASTERNCHINA/1112A/2011,3.522,
A/GUANGZHOU/39715A/2014,5.561,
A/GYRFALCON/WASHINGTON/41088-6B/2014,2.619,
A/CAMBODIA/X0810301B/2013,3.02,
A/DUCK/VIETNAM/NCVD-1283A/2012,4.237,
A/CHICKEN/JIANGSU/K0101B/2010,2.908,
A/SICHUAN/26221A/2014,5.055,
A/DUCK/GIZA/15292SA/2015,2.531,
A/CHICKEN/NETHERLANDS/EMC-3C/2014,5.77,
A/FUJIAN-SANYUAN/21099A/2017,4.668,
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,2.199,
