,0,1
A/CHICKEN/SCOTLAND/1959_C,3.337,
A/TERN/SOUTH-AFRICA/1961_C,3.528,
A/TURKEY/WISCONSIN/1968_C,144.673,
A/DUCK/HONG-KONG/205/1977_C,20.058,
A/CHICKEN/HIDALGO/28159-232/1994_C,8.207,
A/EMU/NEW-YORK/12716/1994_C,152.311,
A/MALLARD/NETHERLANDS/3/1999_C,13.328,
A/AVIAN/NEW-YORK/315883/2000_C,14.761,
A/ENVIRONMENT/DELAWARE/1346/2001_C,3.55,
A/MALLARD/SWEDEN/21/2002_C,15.657,
A/MALLARD/SWEDEN/49/2002_C,5.28,
A/MALLARD/SWEDEN/7/2002_C,4.897,
A/HONG-KONG/486/1997_0,3.961,
A/HONG-KONG/156/1997_0,2.331,
A/HONG-KONG/483/1997_0,83.724,
A/VIETNAM/1194/2004_1,93.878,2.715
A/VIETNAM/1203/2004_1,55.453,
A/VIETNAM/1204/2004_1,5.972,121.529
A/VIETNAM/3212/2004_1,28.004,
A/VIETNAM/3218/2004_1,121.408,0.846
A/CAMBODIA/R0405050/2007_1-1,13.765,156.532
A/DUCK/VIETNAM/OIE-0062/2012_1-1-1,88.135,9.103
A/CAMBODIA/X0810301/2013_1-1-2,9.349,
A/INDONESIA/5/2005_2-1-3-2,16.719,
A/DUCK/HUNAN/795/2002_2-1-1,33.497,
A/CHICKEN/WEST-JAVA/30/2007_2-1-3-2,81.4,
A/CHICKEN/CENTRAL-JAVA/51/2009_2-1-3-2,25.91,
A/CHICKEN/CENTRAL-JAVA/52/2009_2-1-3-2B,8.066,
A/CHICKEN/WEST-JAVA/59/2009_2-1-3-2B,14.688,
A/CHICKEN/NORTH-SUMATRA/27/2009_2-1-3-2,16.869,
A/CHICKEN/WEST-JAVA/47/2009_2-1-3-2B,14.746,
A/CHICKEN/NORTH-SUMATRA/72/2010_2-1-3-3,11.894,
A/CHICKEN/WEST-JAVA/90/2010_2-1-3-2A,13.252,
A/CHICKEN/EAST-JAVA/121/2010_2-1-3-2B,19.449,
A/CHICKEN/SOUTH-SULAWESI/157/2011_2-1-3-1,10.479,
A/INDONESIA/NIHRD11771/2011_2-1-3-2A,11.115,
A/INDONESIA/NIHRD13233/2013_2-1-3-2B,14.615,
A/TURKEY/TURKEY/1/2005_2-2-1,2.566,
A/BAR-HEADED-GOOSE/QINGHAI/1A/2005_2-2,3.501,
A/IRAQ/755/2006_2-2,2.831,
A/TURKEY/65596/2006_2-2,2.219,
A/CHICKEN/NIGERIA/BA209/2006_2-2,2.957,
A/CHICKEN/NIGERIA/BA210/2006_2-2,3.539,
A/CHICKEN/NIGERIA/SO452/2006_2-2-1,6.149,
A/CHICKEN/NIGERIA/SO493/2006_2-2-1,2.108,
A/SWAN/GERMANY/R651/2006_2-2,3.608,
A/CHICKEN/EGYPT/3N/2006_2-2-1,3.258,
A/TURKEY/15/2006_2-2,2.314,
A/CAT/AUSTRIA/P32V1/2006_2-2-1,3.108,
A/CHICKEN/BANGLADESH/11RS1984-27/2011_2-2-2-1,35.798,
A/SWAN/AUSTRIA/P2063/2006_2-2-1,3.264,
A/EGYPT/N01753/2014_2-2-1-2,7.277,
A/COMMON-MAGPIE/HONG-KONG/5052/2007_2-3-2-1,13.396,
A/CHICKEN/HONG-KONG/AP156/2009_2-3-4,142.812,
A/BARN-SWALLOW/HONG-KONG/1161/2010_2-3-2-1B,9.452,
A/DUCK/HONG-KONG/1091/2011_2-3-2-1B,23.703,
A/DUCK/BANTUL/1443-9/2012_2-3-2-1G,3.009,
A/DUCK/VIETNAM/NCVD-1584/2012_2-3-2-1E,8.491,
A/DUCK/BANGLADESH/19097/2013_2-3-2-1A,5.453,
A/ANHUI/1/2005_2-3-4,7.11,
A/JIANGXI/1/2005_2-3-4,6.114,
A/JAPANESE-WHITE-EYE/HONG-KONG/1038/2006_2-3-4,59.148,
A/GUIZHOU/1/2013_2-3-4-2,7.742,
A/GOOSE/EASTERN-CHINA/1112/2011_2-3-4-4A,42.475,
A/CHICKEN/NETHERLANDS/EMC-3/2014_2-3-4-4C,1.84,
A/GUANGZHOU/39715/2014_2-3-4-4E,55.318,
A/GYRFALCON/WASHINGTON/41088-6/2014_2-3-4-4C,7.223,
A/EURASIAN-WIGEON/NETHERLANDS/1/2015_2-3-4-4C,3.792,
A/EURASIAN-WIGEON/NETHERLANDS/EMC-3/2014_2-3-4-4C,2.029,
A/GREAT-BLACK-BACKED-GULL/NETHERLANDS/3/2016_2-3-4-4B,7.741,
A/TUFTED-DUCK/GERMANY/AR8444/2016_2-3-4-4B,14.351,
A/GOOSE/GUANGDONG/72/2004_9,31.135,
A/CHICKEN/EGYPT/20NLQP-CLEVB238/2008_2-2-1-1,26.325,
A/CHICKEN/EGYPT/0987-NLQP/2009_2-2-1,20.088,
A/CHICKEN/JIANGSU/K0101/2010_2-3-4,56.217,
A/MUSCOVY-DUCK/VIETNAM/TMU003/2008_2-3-4-2,16.917,
A/BLACK-HEADED-GULL/TYVA/41/2016_2-3-4-4B,31.103,
A/CHICKEN/HUADONG/4/2008_7-2,54.847,
A/DUCK/CAIRO/1578CA/2015_2-2-1-2,14.21,
A/DUCK/GIZA/15292S/2015_2-2-1-2,7.423,
A/DUCK/DAKAHLIA/1536CAG/2015_2-2-1-2,10.397,
A/DUCK/VIETNAM/317/2005_1,91.17,7.389
A/DUCK/VIETNAM/NCVD-1279/2012_1-1-2,17.597,131.85
A/MUSCOVY-DUCK/VIETNAM/NCVD-KA426/2013_1-1-2,99.265,
A/DUCK/HUNAN/182/2005_2-3-1,27.557,
A/CHICKEN/DENPASAR/BBVD-182/2007_2-1-1,6.111,
A/CHICKEN/MEDAN/BBPV1-571/2005_2-1-2,35.089,
A/INDONESIA/538H/2006_2-1-2,32.335,
A/CHICKEN/INDONESIA/R60/2005_2-1-1,5.897,
A/CHICKEN/EAST-JAVA/UT6031/2007_2-1-3,18.207,
A/COMMON-GOLDENEYE/MONGOLIA/12/2006_2-2,3.015,
A/GOOSE/GUANGXI/345/2005_2-3-2,2.699,
A/GREAT-EGRET/HONG-KONG/807/2008_2-3-2-1,10.41,
A/CHICKEN/NEPAL/T299/2013_2-3-2-1A,23.024,
A/DUCK/VIETNAM/NCVD-851/2011_2-3-2-1A,133.624,36.649
A/DUCK/VIETNAM/NCVD-1283/2012_2-3-2-1B,47.152,
A/BAR-HEADED-GOOSE/MONGOLIA/X53/2009_2-3-2-1C,6.315,
A/GUINEA-FOWL/GHANA/2/2015_2-3-2-1F,128.875,61.233
A/DUCK/VIETNAM/NCVD-293/2009_2-3-4-1,33.185,
A/DUCK/VIETNAM/HU3-574/2015_2-3-2-1E,14.301,
A/CHICKEN/VIETNAM/NCVD-279/2009_2-3-4-3,23.911,
A/SICHUAN/26221/2014_2-3-4-4A,42.994,
A/MUSCOVY-DUCK/VIETNAM/LBM631/2014_2-3-4-4G,29.173,
A/BLACK-SWAN/AKITA/1/2016_2-3-4-4E,94.085,
A/MUSCOVY-DUCK/VIETNAM/823/2015_2-3-4-4F,13.805,
A/GREAT-BLACK-BACKED-GULL/NETHERLANDS/1/2017_2-3-4-4B,8.324,
A/BLACK-HEADED-GULL/NETHERLANDS/29/2017_2-3-4-4B,16.3,
A/ENVIRONMENT/KOTA-TANGERANG/0813207-005/2013_2-1-3-2B,5.598,
A/CHICKEN/VIETNAM/NCVD-15A59/2015_2-3-4-4F,31.554,
A/FUJIAN-SANYUAN/21099/2017_2-3-4-4B,25.163,
A/NEPAL/19FL1997/2019_2-3-2-1A,35.788,
A/ASTRAKHAN/3212/2020_2-3-4-4B,12.009,
A/CHICKEN/VIETNAM/RAHO4-CD-20-421/2020_2-3-4-4G,152.179,
A/HERRING-GULL/NETHERLANDS/1/2020_2-3-4-4B,5.994,
A/CASPIAN-GULL/NETHERLANDS/1/2022_2-3-4-4B,7.442,
A/CHICKEN/NETHERLANDS/EMC-1/2018_2-3-4-4B,1.931,
A/EURASIAN-WIGEON/NETHERLANDS/4/2016_2-3-4-4B,20.176,
