,0,1
A/DUCK/HONGKONG/205B/1977,2.651,
A/MALLARD/NETHERLANDS/3A/1999,5.417,
A/MALLARD/SWEDEN/49B/2002,12.998,
A/HONGKONG/156A/1997,3.647,
A/HONGKONG/483B/1997,8.421,
A/VIETNAM/1194D/2004,2.884,
A/INDONESIA/5F/2005,4.542,
A/CHICKEN/WESTJAVA/EURRG30A/2007,11.496,
A/CHICKEN/CENTRALJAVA/051B/2009,10.266,
A/CHICKEN/NORTHSUMATRA/072A/2010,14.753,
A/CHICKEN/EASTJAVA/121B/2010,6.116,
A/CHICKEN/SOUTHSULAWESI/157A/2011,2.056,
A/TURKEY/TURKEY/1A/2005,2.431,
A/IRAQ/755A/2006,2.53,
A/EGYPT/NO1753B/2014,1.516,
A/DUCK/BANGLADESH/19097B/2013,0.958,
A/ANHUI/1C/2005,0.834,11.005
A/GUIZHOU/1A/2013,24.093,
A/GOOSE/EASTERNCHINA/1112A/2011,5.181,
A/GUANGZHOU/39715A/2014,13.44,
A/GYRFALCON/WASHINGTON/41088-6B/2014,2.909,
A/CAMBODIA/X0810301B/2013,3.224,
A/DUCK/VIETNAM/NCVD-1283A/2012,6.642,
A/CHICKEN/JIANGSU/K0101B/2010,2.732,
A/SICHUAN/26221A/2014,10.704,
A/DUCK/GIZA/15292SA/2015,2.403,
A/CHICKEN/NETHERLANDS/EMC-3C/2014,24.153,
A/FUJIAN-SANYUAN/21099A/2017,9.366,
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,1.36,
